Time,Trial One,Trial Two,Trial Three,Trial Four,Trial Five,Average
0,0,0,0,0,0,0
1,8,8,8,8,8,8
2,13,13,13,13,13,13
3,18,18,18,18,18,18
4,24,24,24,24,24,24
5,31,31,31,31,31,31
6,40,40,40,40,40,40
7,50,50,50,50,50,50
8,62,62,62,62,62,62
9,75,75,75,75,75,75
10,91,91,91,91,91,91
11,109,109,109,109,109,109
12,130,130,130,130,130,130
13,154,154,154,154,154,154
14,182,182,182,182,182,182
15,215,215,215,215,215,215
16,253,253,253,253,253,253
17,298,298,298,298,298,298
18,350,350,350,350,350,350
19,411,411,411,411,411,411
20,482,482,482,482,482,482
21,564,564,564,564,564,564
22,659,659,659,659,659,659
23,770,770,770,770,770,770
24,899,899,899,899,899,899
25,1049,1049,1049,1049,1049,1049
26,1222,1222,1222,1222,1222,1222
27,1423,1423,1423,1423,1423,1423
28,1656,1656,1656,1656,1656,1656
29,1925,1925,1925,1925,1925,1925
30,2236,2236,2236,2236,2236,2236
31,2594,2594,2594,2594,2594,2594
32,3006,3006,3006,3006,3006,3006
33,3478,3478,3478,3478,3478,3478
34,4019,4019,4019,4019,4019,4019
35,4636,4636,4636,4636,4636,4636
36,5338,5338,5338,5338,5338,5338
37,6133,6133,6133,6133,6133,6133
38,7030,7030,7030,7030,7030,7030
39,8036,8036,8036,8036,8036,8036
40,9160,9160,9160,9160,9160,9160
41,10407,10407,10407,10407,10407,10407
42,11781,11781,11781,11781,11781,11781
43,13284,13284,13284,13284,13284,13284
44,14916,14916,14916,14916,14916,14916
45,16671,16671,16671,16671,16671,16671
46,18542,18542,18542,18542,18542,18542
47,20516,20516,20516,20516,20516,20516
48,22578,22578,22578,22578,22578,22578
49,24708,24708,24708,24708,24708,24708
50,26885,26885,26885,26885,26885,26885
51,29085,29085,29085,29085,29085,29085
52,31283,31283,31283,31283,31283,31283
53,33456,33456,33456,33456,33456,33456
54,35580,35580,35580,35580,35580,35580
55,37635,37635,37635,37635,37635,37635
56,39604,39604,39604,39604,39604,39604
57,41472,41472,41472,41472,41472,41472
58,43229,43229,43229,43229,43229,43229
59,44869,44869,44869,44869,44869,44869
60,46387,46387,46387,46387,46387,46387
61,47783,47783,47783,47783,47783,47783
62,49059,49059,49059,49059,49059,49059
63,50218,50218,50218,50218,50218,50218
64,51266,51266,51266,51266,51266,51266
65,52210,52210,52210,52210,52210,52210
66,53056,53056,53056,53056,53056,53056
67,53811,53811,53811,53811,53811,53811
68,54483,54483,54483,54483,54483,54483
69,55080,55080,55080,55080,55080,55080
70,55608,55608,55608,55608,55608,55608
71,56075,56075,56075,56075,56075,56075
72,56487,56487,56487,56487,56487,56487
73,56849,56849,56849,56849,56849,56849
74,57168,57168,57168,57168,57168,57168
75,57448,57448,57448,57448,57448,57448
76,57693,57693,57693,57693,57693,57693
77,57908,57908,57908,57908,57908,57908
78,58096,58096,58096,58096,58096,58096
79,58260,58260,58260,58260,58260,58260
80,58403,58403,58403,58403,58403,58403
81,58528,58528,58528,58528,58528,58528
82,58638,58638,58638,58638,58638,58638
83,58734,58734,58734,58734,58734,58734
84,58817,58817,58817,58817,58817,58817
85,58890,58890,58890,58890,58890,58890
86,58954,58954,58954,58954,58954,58954
87,59009,59009,59009,59009,59009,59009
88,59057,59057,59057,59057,59057,59057
89,59099,59099,59099,59099,59099,59099
90,59136,59136,59136,59136,59136,59136
91,59168,59168,59168,59168,59168,59168
92,59196,59196,59196,59196,59196,59196
93,59221,59221,59221,59221,59221,59221
94,59243,59243,59243,59243,59243,59243
95,59262,59262,59262,59262,59262,59262
96,59279,59279,59279,59279,59279,59279
97,59294,59294,59294,59294,59294,59294
98,59307,59307,59307,59307,59307,59307
99,59318,59318,59318,59318,59318,59318
100,59328,59328,59328,59328,59328,59328
101,59337,59337,59337,59337,59337,59337
102,59345,59345,59345,59345,59345,59345
103,59352,59352,59352,59352,59352,59352
104,59358,59358,59358,59358,59358,59358
105,59363,59363,59363,59363,59363,59363
106,59367,59367,59367,59367,59367,59367
107,59371,59371,59371,59371,59371,59371
108,59375,59375,59375,59375,59375,59375
109,59378,59378,59378,59378,59378,59378
110,59381,59381,59381,59381,59381,59381
111,59384,59384,59384,59384,59384,59384
112,59386,59386,59386,59386,59386,59386
113,59388,59388,59388,59388,59388,59388
114,59390,59390,59390,59390,59390,59390
