Time,Trial One,Trial Two,Trial Three,Trial Four,Trial Five,Average
0,99990,99990,99990,99990,99990,99990
1,99979,99979,99979,99979,99979,99979
2,99972,99972,99972,99972,99972,99972
3,99964,99964,99964,99964,99964,99964
4,99955,99955,99955,99955,99955,99955
5,99944,99944,99944,99944,99944,99944
6,99931,99931,99931,99931,99931,99931
7,99916,99916,99916,99916,99916,99916
8,99899,99899,99899,99899,99899,99899
9,99879,99879,99879,99879,99879,99879
10,99856,99856,99856,99856,99856,99856
11,99829,99829,99829,99829,99829,99829
12,99798,99798,99798,99798,99798,99798
13,99762,99762,99762,99762,99762,99762
14,99720,99720,99720,99720,99720,99720
15,99671,99671,99671,99671,99671,99671
16,99614,99614,99614,99614,99614,99614
17,99547,99547,99547,99547,99547,99547
18,99469,99469,99469,99469,99469,99469
19,99378,99378,99378,99378,99378,99378
20,99273,99273,99273,99273,99273,99273
21,99151,99151,99151,99151,99151,99151
22,99009,99009,99009,99009,99009,99009
23,98844,98844,98844,98844,98844,98844
24,98653,98653,98653,98653,98653,98653
25,98432,98432,98432,98432,98432,98432
26,98176,98176,98176,98176,98176,98176
27,97880,97880,97880,97880,97880,97880
28,97538,97538,97538,97538,97538,97538
29,97144,97144,97144,97144,97144,97144
30,96691,96691,96691,96691,96691,96691
31,96172,96172,96172,96172,96172,96172
32,95578,95578,95578,95578,95578,95578
33,94901,94901,94901,94901,94901,94901
34,94131,94131,94131,94131,94131,94131
35,93260,93260,93260,93260,93260,93260
36,92278,92278,92278,92278,92278,92278
37,91178,91178,91178,91178,91178,91178
38,89952,89952,89952,89952,89952,89952
39,88594,88594,88594,88594,88594,88594
40,87101,87101,87101,87101,87101,87101
41,85472,85472,85472,85472,85472,85472
42,83710,83710,83710,83710,83710,83710
43,81822,81822,81822,81822,81822,81822
44,79819,79819,79819,79819,79819,79819
45,77717,77717,77717,77717,77717,77717
46,75536,75536,75536,75536,75536,75536
47,73299,73299,73299,73299,73299,73299
48,71032,71032,71032,71032,71032,71032
49,68762,68762,68762,68762,68762,68762
50,66516,66516,66516,66516,66516,66516
51,64321,64321,64321,64321,64321,64321
52,62200,62200,62200,62200,62200,62200
53,60173,60173,60173,60173,60173,60173
54,58256,58256,58256,58256,58256,58256
55,56460,56460,56460,56460,56460,56460
56,54793,54793,54793,54793,54793,54793
57,53257,53257,53257,53257,53257,53257
58,51853,51853,51853,51853,51853,51853
59,50577,50577,50577,50577,50577,50577
