Time,Number of Individuals,,,,,
0,0,0,0,0,0,0
1,0,0,2,1,1,0.8
2,0,0,2,1,1,0.8
3,0,0,2,1,1,0.8
4,0,0,2,1,1,0.8
5,0,0,2,1,1,0.8
6,0,0,2,1,1,0.8
7,0,0,2,1,1,0.8
8,0,0,2,1,1,0.8
9,0,0,2,1,1,0.8
10,0,0,2,1,1,0.8
11,0,0,2,1,1,0.8
12,0,0,2,1,1,0.8
13,0,0,2,1,1,0.8
14,0,0,2,1,1,0.8
15,0,0,2,1,1,0.8
16,0,1,2,1,1,1
17,0,1,2,1,1,1
18,0,1,2,1,1,1
19,0,1,2,1,1,1
20,0,1,2,1,1,1
21,0,1,2,1,1,1
22,0,1,2,1,1,1
23,0,1,2,1,1,1
24,0,1,2,1,1,1
25,0,1,2,1,1,1
26,0,1,2,1,1,1
27,0,1,2,1,1,1
28,0,1,2,1,1,1
29,0,1,2,1,1,1
30,0,2,2,1,1,1.2
31,1,3,2,1,1,1.6
32,1,3,2,1,1,1.6
33,1,3,2,1,1,1.6
34,1,3,2,1,1,1.6
35,1,3,2,1,1,1.6
36,1,3,2,1,1,1.6
37,1,3,2,1,1,1.6
38,1,3,2,1,1,1.6
39,1,3,2,1,1,1.6
40,1,3,2,1,1,1.6
41,1,3,2,1,1,1.6
42,1,3,2,1,1,1.6
43,1,3,2,1,1,1.6
44,1,3,2,1,1,1.6
45,1,3,2,2,2,2
46,1,4,2,3,6,3.2
47,1,4,2,3,6,3.2
48,1,4,2,3,6,3.2
49,1,4,2,3,6,3.2
50,1,4,2,3,6,3.2
51,1,4,2,3,6,3.2
52,1,4,2,3,6,3.2
53,1,4,2,3,6,3.2
54,1,4,2,3,6,3.2
55,1,4,2,3,6,3.2
56,1,4,2,3,6,3.2
57,1,4,2,3,6,3.2
58,1,4,2,3,6,3.2
59,1,4,2,3,6,3.2
60,1,4,2,3,6,3.2
61,1,6,5,4,7,4.6
62,1,6,5,4,7,4.6
63,1,6,5,4,7,4.6
64,1,6,5,4,7,4.6
65,1,6,5,4,7,4.6
66,1,6,5,4,7,4.6
67,1,6,5,4,7,4.6
68,1,6,5,4,7,4.6
69,1,6,5,4,7,4.6
70,1,6,5,4,7,4.6
71,1,6,5,4,7,4.6
72,1,6,5,4,7,4.6
73,1,6,5,4,7,4.6
74,1,6,5,4,7,4.6
75,1,7,5,4,7,4.8
76,1,9,6,6,8,6
77,1,9,6,6,8,6
78,1,9,6,6,8,6
79,1,9,6,6,8,6
80,1,9,6,6,8,6
81,1,9,6,6,8,6
82,1,9,6,6,8,6
83,1,9,6,6,8,6
84,1,9,6,6,8,6
85,1,9,6,6,8,6
86,1,9,6,6,8,6
87,1,9,6,6,8,6
88,1,9,6,6,8,6
89,1,9,6,6,8,6
90,2,9,6,6,9,6.4
91,2,10,11,9,13,9
92,2,10,11,9,13,9
93,2,10,11,9,13,9
94,2,10,11,9,13,9
95,2,10,11,9,13,9
96,2,10,11,9,13,9
97,2,10,11,9,13,9
98,2,10,11,9,13,9
99,2,10,11,9,13,9
100,2,10,11,9,13,9
101,2,10,11,9,13,9
102,2,10,11,9,13,9
103,2,10,11,9,13,9
104,2,10,11,9,13,9
105,2,10,11,9,13,9
106,3,12,13,9,14,10.2
107,3,12,13,9,14,10.2
108,3,12,13,9,14,10.2
109,3,12,13,9,14,10.2
110,3,12,13,9,14,10.2
111,3,12,13,9,14,10.2
112,3,12,13,9,14,10.2
113,3,12,13,9,14,10.2
114,3,12,13,9,14,10.2
115,3,12,13,9,14,10.2
116,3,12,13,9,14,10.2
117,3,12,13,9,14,10.2
118,3,12,13,9,14,10.2
119,3,12,13,9,14,10.2
120,3,12,13,10,14,10.4
121,4,14,16,15,15,12.8
122,4,14,16,15,15,12.8
123,4,14,16,15,15,12.8
124,4,14,16,15,15,12.8
125,4,14,16,15,15,12.8
126,4,14,16,15,15,12.8
127,4,14,16,15,15,12.8
128,4,14,16,15,15,12.8
129,4,14,16,15,15,12.8
130,4,14,16,15,15,12.8
131,4,14,16,15,15,12.8
132,4,14,16,15,15,12.8
133,4,14,16,15,15,12.8
134,4,14,16,15,15,12.8
135,4,14,16,15,15,12.8
136,6,15,20,17,16,14.8
137,6,15,20,17,16,14.8
138,6,15,20,17,16,14.8
139,6,15,20,17,16,14.8
140,6,15,20,17,16,14.8
141,6,15,20,17,16,14.8
142,6,15,20,17,16,14.8
143,6,15,20,17,16,14.8
144,6,15,20,17,16,14.8
145,6,15,20,17,16,14.8
146,6,15,20,17,16,14.8
147,6,15,20,17,16,14.8
148,6,15,20,17,16,14.8
149,6,15,20,17,16,14.8
150,6,15,20,17,16,14.8
151,7,17,23,18,17,16.4
152,7,17,23,18,17,16.4
153,7,17,23,18,17,16.4
154,7,17,23,18,17,16.4
155,7,17,23,18,17,16.4
156,7,17,23,18,17,16.4
157,7,17,23,18,17,16.4
158,7,17,23,18,17,16.4
159,7,17,23,18,17,16.4
160,7,17,23,18,17,16.4
161,7,17,23,18,17,16.4
162,7,17,23,18,17,16.4
163,7,17,23,18,17,16.4
164,7,17,23,18,17,16.4
165,8,17,23,18,17,16.6
166,12,22,23,21,20,19.6
167,12,22,23,21,20,19.6
168,12,22,23,21,20,19.6
169,12,22,23,21,20,19.6
170,12,22,23,21,20,19.6
171,12,22,23,21,20,19.6
172,12,22,23,21,20,19.6
173,12,22,23,21,20,19.6
174,12,22,23,21,20,19.6
175,12,22,23,21,20,19.6
176,12,22,23,21,20,19.6
177,12,22,23,21,20,19.6
178,12,22,23,21,20,19.6
179,12,22,23,21,20,19.6
180,12,22,23,21,20,19.6
181,15,26,27,22,22,22.4
182,15,26,27,22,22,22.4
183,15,26,27,22,22,22.4
184,15,26,27,22,22,22.4
185,15,26,27,22,22,22.4
186,15,26,27,22,22,22.4
187,15,26,27,22,22,22.4
188,15,26,27,22,22,22.4
189,15,26,27,22,22,22.4
