Time,Number of Individuals,,,,,
0,10,10,10,10,10,10
1,11,10,10,13,11,11
2,11,10,10,13,11,11
3,16,15,14,16,16,15.4
4,16,15,14,16,16,15.4
5,18,19,18,20,19,18.8
6,18,19,19,20,19,19
7,18,19,19,20,19,19
8,18,19,19,20,19,19
9,18,19,19,20,19,19
10,18,19,19,20,19,19
11,19,19,20,21,20,19.8
12,19,19,20,21,20,19.8
13,19,20,20,21,20,20
14,19,20,20,21,20,20
15,19,20,20,21,20,20
16,20,19,20,21,20,20
17,20,19,20,21,20,20
18,20,19,21,21,20,20.2
19,20,19,21,21,20,20.2
20,20,19,21,21,20,20.2
21,20,20,21,21,21,20.6
22,20,20,21,21,21,20.6
23,20,20,21,21,25,21.4
24,20,20,21,21,25,21.4
25,20,20,21,21,27,21.8
26,20,20,21,21,27,21.8
27,20,20,21,21,27,21.8
28,20,20,21,21,27,21.8
29,20,21,22,21,27,22.2
30,20,20,22,21,27,22
31,20,19,22,22,27,22
32,20,19,22,22,27,22
33,20,19,22,24,27,22.4
34,20,19,22,25,27,22.6
35,20,20,24,25,28,23.4
36,20,20,24,25,28,23.4
37,20,20,25,26,30,24.2
38,20,20,25,26,30,24.2
39,20,22,25,27,30,24.8
40,20,22,25,27,30,24.8
41,22,22,27,28,30,25.8
42,22,22,27,28,30,25.8
43,22,23,28,28,31,26.4
44,22,23,28,28,31,26.4
45,22,23,28,29,30,26.4
46,22,22,28,28,26,25.2
47,25,24,30,28,27,26.8
48,25,24,30,28,27,26.8
49,27,25,30,29,27,27.6
50,27,25,30,29,27,27.6
51,27,26,31,32,28,28.8
52,27,26,31,32,28,28.8
53,27,27,32,32,28,29.2
54,27,27,32,32,28,29.2
55,27,28,32,32,30,29.8
56,27,28,33,32,30,30
57,29,29,34,32,30,30.8
58,29,29,34,33,30,31
59,30,31,35,33,31,32
60,30,31,35,33,31,32
61,31,30,34,34,30,31.8
62,31,30,34,34,30,31.8
63,31,31,37,35,30,32.8
64,31,31,37,35,30,32.8
65,31,32,37,36,31,33.4
66,31,32,37,36,31,33.4
67,32,34,37,37,32,34.4
68,32,34,37,37,32,34.4
69,33,35,37,38,33,35.2
70,33,35,37,38,33,35.2
71,33,38,37,38,33,35.8
72,33,38,38,38,34,36.2
73,33,38,38,40,34,36.6
74,33,39,39,40,34,37
75,33,39,39,40,34,37
76,33,37,38,38,33,35.8
77,33,38,38,39,33,36.2
78,33,38,39,39,33,36.4
79,34,39,41,40,35,37.8
80,34,39,41,40,35,37.8
81,35,41,41,40,35,38.4
82,35,41,41,40,35,38.4
83,35,41,41,40,36,38.6
84,35,41,41,40,36,38.6
85,35,41,43,40,37,39.2
86,35,42,43,40,37,39.4
87,38,43,44,40,38,40.6
88,38,43,44,40,38,40.6
89,39,43,47,42,38,41.8
90,38,43,47,42,37,41.4
91,39,42,44,39,34,39.6
92,39,42,44,39,34,39.6
93,39,43,45,39,34,40
94,39,43,45,39,34,40
95,40,43,46,40,34,40.6
96,40,43,46,40,34,40.6
97,41,44,46,41,34,41.2
98,42,44,46,41,34,41.4
99,43,44,46,41,35,41.8
100,43,44,46,41,35,41.8
101,43,46,46,41,36,42.4
102,43,46,46,41,36,42.4
