Time,Number of individuals,,,,,
0,90,90,90,90,90,90
1,89,90,88,86,88,88.2
2,89,90,88,86,88,88.2
3,84,85,84,83,83,83.8
4,84,85,84,83,83,83.8
5,82,81,80,79,80,80.4
6,82,81,79,79,80,80.2
7,82,81,79,79,80,80.2
8,82,81,79,79,80,80.2
9,82,81,79,79,80,80.2
10,82,81,79,79,80,80.2
11,81,81,78,78,79,79.4
12,81,81,78,78,79,79.4
13,81,80,78,78,79,79.2
14,81,80,78,78,79,79.2
15,81,80,78,78,79,79.2
16,80,80,78,78,79,79
17,80,80,78,78,79,79
18,80,80,77,78,79,78.8
19,80,80,77,78,79,78.8
20,80,80,77,78,79,78.8
21,80,79,77,78,78,78.4
22,80,79,77,78,78,78.4
23,80,79,77,78,74,77.6
24,80,79,77,78,74,77.6
25,80,79,77,78,72,77.2
26,80,79,77,78,72,77.2
27,80,79,77,78,72,77.2
28,80,79,77,78,72,77.2
29,80,78,76,78,72,76.8
30,80,78,76,78,72,76.8
31,79,78,76,77,72,76.4
32,79,78,76,77,72,76.4
33,79,78,76,75,72,76
34,79,78,76,74,72,75.8
35,79,77,74,74,71,75
36,79,77,74,74,71,75
37,79,77,73,73,69,74.2
38,79,77,73,73,69,74.2
39,79,75,73,72,69,73.6
40,79,75,73,72,69,73.6
41,77,75,71,71,69,72.6
42,77,75,71,71,69,72.6
43,77,74,70,71,68,72
44,77,74,70,71,68,72
45,77,74,70,69,68,71.6
46,77,74,70,69,68,71.6
47,74,72,68,69,67,70
48,74,72,68,69,67,70
49,72,71,68,68,67,69.2
50,72,71,68,68,67,69.2
51,72,70,67,65,66,68
52,72,70,67,65,66,68
53,72,69,66,65,66,67.6
54,72,69,66,65,66,67.6
55,72,68,66,65,64,67
56,72,68,65,65,64,66.8
57,70,67,64,65,64,66
58,70,67,64,64,64,65.8
59,69,65,63,64,63,64.8
60,69,65,63,64,63,64.8
61,68,64,61,62,63,63.6
62,68,64,61,62,63,63.6
63,68,63,58,61,63,62.6
64,68,63,58,61,63,62.6
65,68,62,58,60,62,62
66,68,62,58,60,62,62
67,67,60,58,59,61,61
68,67,60,58,59,61,61
69,66,59,58,58,60,60.2
70,66,59,58,58,60,60.2
71,66,56,58,58,60,59.6
72,66,56,57,58,59,59.2
73,66,56,57,56,59,58.8
74,66,55,56,56,59,58.4
75,66,54,56,56,59,58.2
76,66,54,56,56,59,58.2
77,66,53,56,55,59,57.8
78,66,53,55,55,59,57.6
79,65,52,53,54,57,56.2
80,65,52,53,54,57,56.2
81,64,50,53,54,57,55.6
82,64,50,53,54,57,55.6
83,64,50,53,54,56,55.4
84,64,50,53,54,56,55.4
85,64,50,51,54,55,54.8
86,64,49,51,54,55,54.6
87,61,48,50,54,54,53.4
88,61,48,50,54,54,53.4
89,60,48,47,52,54,52.2
90,60,48,47,52,54,52.2
91,59,48,45,52,53,51.4
92,59,48,45,52,53,51.4
93,59,47,44,52,53,51
94,59,47,44,52,53,51
95,58,47,43,51,53,50.4
96,58,47,43,51,53,50.4
97,57,46,43,50,53,49.8
98,56,46,43,50,53,49.6
99,55,46,43,50,52,49.2
100,55,46,43,50,52,49.2
101,55,44,43,50,51,48.6
102,55,44,43,50,51,48.6
103,55,41,41,50,51,47.6
104,55,41,41,50,51,47.6
105,55,40,41,50,50,47.2
106,55,40,41,50,50,47.2
107,55,39,40,50,50,46.8
108,55,39,40,50,50,46.8
109,55,39,40,48,49,46.2
110,55,39,40,48,49,46.2
111,55,37,40,47,49,45.6
112,55,37,40,47,49,45.6
113,55,37,40,47,49,45.6
114,55,37,40,47,49,45.6
115,55,36,40,47,49,45.4
